station_name,available_bikes
Park Ave & Marcus Garvey Blvd,3
Brooklyn Bridge Park - Pier 2,11
Yankee Ferry Terminal,32
Exchange Place,20
Paulus Hook,13
City Hall,10
Grove St PATH,27
Warren St,7
NJCU,8
West Side Light Rail,11
Garfield Ave Station,5
Union St,5
Liberty Light Rail,0
Lincoln Park,4
McGinley Square,2
Sip Ave,34
Riverview Park,1
Heights Elevator,15
Newport Pkwy,3
MLK Light Rail,2
Dey St,5
Newport PATH,17
Hamilton Park,3
JC Medical Center,5
Hilltop,1
Oakland Ave,0
Brunswick St,6
Pershing Field,0
Newark Ave,9
Christ Hospital,0
Van Vorst Park,6
Essex Light Rail,18
Journal Square,8
Columbia Park,3
Bayside Park,5
5 Corners Library,0
47 Ave & 31 St,24
E 55 St & 3 Ave,1
W 13 St & Hudson St,22
Baldwin at Montgomery,0
W 82 St & Central Park West,1
E 67 St & Park Ave,6
Bond St & Fulton St,9
E 48 St & 5 Ave,35
E 41 St & Madison Ave,29
W 42 St & Dyer Ave,1
E 80 St & 2 Ave,1
Monroe St & Tompkins Ave,0
Schermerhorn St & Court St,37
E 58 St & 1 Ave,1
University Pl & E 8 St,2
Verona Pl & Fulton St,1
Soissons Landing,11
8 Ave & W 31 St,5
Pier 40 - Hudson River Park,20
W 27 St & 10 Ave,36
9 Ave & W 28 St,4
Mercer St & Bleecker St,27
Cooper Square & E 7 St,1
Morris Canal,0
Lafayette Park,0
Brunswick & 6th,1
Jersey & 6th St,7
Danforth Light Rail,10
Jersey & 3rd,6
Manila & 1st,7
Bethune Center,5
Columbus Drive,10
Marin Light Rail,6
Communipaw & Berry Lane,2
Monmouth and 6th,2
Dixon Mills,6
Astor Place,5
Leonard Gordon Park,0
5 Ave & E 88 St,8
W 89 St & Columbus Ave,1
E 88 St & Park Ave,0
W 87 St  & Amsterdam Ave,1
E 89 St & 3 Ave,0
E 88 St & 1 Ave,0
W 90 St & Amsterdam Ave,0
E 89 St & York Ave,0
5 Ave & E 93 St,0
W 92 St & Broadway,0
E 91 St & Park Ave,0
Central Park W & W 96 St,3
E 93 St & 2 Ave,0
6 St & 7 Ave,3
Warren St & Court St,2
Coming Soon: E 98 St & Lexington Ave,0
Prospect Park West & 8 St,0
Columbus Ave & W 95 St,0
Columbus Ave & W 103 St,0
Butler St & Court St,1
6 Ave & 9 St,0
E 91 St & 2 Ave,1
10 St & 7 Ave,1
West End Ave & W 94 St,0
Kane St & Clinton St,1
E 97 St & 3 Ave,0
14 St & 7 Ave,0
Columbia St & Kane St,2
1 Ave & E 94 St,0
6 Ave & 12 St,0
W 95 St & Broadway,0
Henry St & Degraw St,0
W 104 St & Amsterdam Ave,0
10 St & 5 Ave,1
2 Ave & E 96 St,15
14 St & 5 Ave,0
Central Park West & W 100 St,0
Clinton St & Union St,1
12 St & 4 Ave,0
W 106 St & Central Park West,2
3 Ave & 14 St,11
E 95 St & 3 Ave,0
Clinton St & Centre St,14
3 Ave & E 100 St,1
W 100 St & Manhattan Ave,0
Degraw St & Smith St,0
Henry St & Bay St,14
Riverside Dr & W 104 St,0
Degraw St & Hoyt St,0
Columbia St & Lorraine St,10
Union St & 4 Ave,24
E 97 St & Madison Ave,0
Dwight St & Van Dyke St,22
2 Ave & E 99 St,0
Berkeley Pl & 6 Ave,7
Wolcott St & Dwight St,14
Central Park West & W 102 St,0
Pioneer St & Richards St,12
W 107 St & Columbus Ave,0
Pioneer St & Van Brunt St,10
Madison Ave & E 99 St,23
Berkeley Pl & 7 Ave,12
Van Brunt St & Wolcott St,15
Coffey St & Conover St,16
Grand Army Plaza & Plaza St West,1
W 100 St & Broadway,0
E 102 St & 1 Ave,1
Sigourney St & Columbia St,5
Reed St & Van Brunt St,0
3 St & Prospect Park West,0
E 66 St & Madison Ave,3
Amsterdam Ave & W 66 St,0
W 106 St & Amsterdam Ave,0
Garfield Pl & 8 Ave,0
E 68 St & Madison Ave,1
Amsterdam Ave & W 79 St,0
Carroll St & 6 Ave,1
Madison Ave & E 82 St,1
E 102 St & Park Ave,6
Carroll St & 5 Ave,1
3 St & 7 Ave,1
West End Ave & W 107 St,0
5 Ave & E 103 St,1
5 Ave & 3 St,1
E 82 St & East End Ave,0
E 78 St & 2 Ave,0
4 Ave & 2 St,15
E 74 St & 1 Ave,0
3 St & 3 Ave,26
Central Park North & Adam Clayton Powell Blvd,0
3 Ave & E 72 St,0
E 65 St & 2 Ave,4
Carroll St & Bond St,5
E 76 St & Park Ave,1
E 103 St & Lexington Ave,6
3 St & Hoyt St,21
Carroll St & Smith St,11
Cathedral Pkwy & Broadway,1
Smith St & 3 St,9
1 Pl & Clinton St,0
E 106 St & Madison Ave,7
President St & Henry St,1
Carroll St & Columbia St,0
E 109 St & 3 Ave,4
E 106 St & 1 Ave,3
Commerce St & Van Brunt St,14
Richards St & Delavan St,8
Columbia St & W 9 St,10
Henry St & W 9 St,17
Clinton St & 4 Place,0
Court St & Nelson St,15
Smith St & 9 St,12
7 St & 3 Ave,20
E 110 St & Madison Ave,0
2 Ave & 9 St,11
Court St & State St,19
4 Ave & 9 St,7
7 St & 5 Ave,0
5 St & 6 Ave,2
Union St & Nevins St,20
Congress St & Clinton St,0
Bergen St & Smith St,20
Dean St & Hoyt St,21
Bond St & Bergen St,3
Pacific St & Nevins St,0
Wyckoff St & 3 Ave,5
Bergen St & Flatbush Ave,4
Prospect Pl & 6 Ave,1
7 Ave & Park Pl,17
Baltic St & 5 Ave,17
Plaza St West & Flatbush Ave,7
Douglass St & 4 Ave,23
Douglass St & 3 Ave,20
Hoyt St & Warren St,15
Columbia St & Degraw St,4
West Drive & Prospect Park West,0
E 106 St & Lexington Ave,1
2 Ave  & E 104 St,0
Lafayette St & Jersey St,38
8 Ave & W 16 St,14
Hanson Pl & Ashland Pl,35
Richardson St & N Henry St,2
E 35 St & 3 Ave,7
W 88 St & West End Ave,0
Grand St & Elizabeth St,2
Greenwich St & Hubert St,29
